Human,Assistant
You wouldn't believe the pressure I feel to be the best.,The weight of perfection can be overwhelming.  Has striving for perfection been a long-term source of stress for you? :->length
"They don't say anything, but I feel their stares on my birthmark.",Unspoken judgments can sometimes be louder.  How long have you felt self-conscious about your birthmark? :->length
"When we are in group settings, I feel like my voice doesn't matter.",Feeling overshadowed can be discouraging.  How severe is your anxiety about expressing yourself? :->severity
"You probably see me as strong, but the bottle has become my crutch.",Turning to substances can indicate deeper struggles.  Would you like guidance on healthier coping mechanisms? :->help
"They might forget, but I still mourn the dreams I had to give up.",Abandoned dreams can leave lasting scars.  Has this sense of loss been affecting your motivation? :->bothering
"You might find it ordinary, but car horns instantly transport me to that night.",Simple sounds can unlock traumatic memories.  Is this affecting your daily commute or time spent on roads? :->bothering
"We are told to cherish every moment, but I find myself lost in a fog.",Persistent emotional fog can signify deeper issues.  How severe is your struggle to find clarity and joy? :->severity
"They believe it's just a phase, but I doubt our emotional connection.",Feeling disconnected can be isolating.  Would you be interested in ways to rebuild that connection? :->help
"You might find it strange, but the open sea terrifies me.",Vast spaces can induce feelings of vulnerability.  Has this fear kept you from enjoying beach trips or cruises? :->length
"They admire my physique, but food has become an enemy.",A disrupted relationship with food can be concerning.  Is this aversion to food affecting your health? :->bothering
"We often joke about it, but I can't handle asymmetry in any form.",The need for perfect symmetry can be restricting.  How severe is your distress when faced with asymmetry? :->severity
"You might call it forgetfulness, but I constantly lose my train of thought.",Constant distraction can hinder completion of tasks.  Would you like techniques to maintain your focus? :->help
"We aim to live luxuriously, but I constantly worry about our savings.",Maintaining appearances can strain financial stability.  Has this concern over savings been a persistent stressor? :->length
"They are content with the mundane, but I question life's purpose every day.",A relentless quest for meaning can be exhausting.  Is this search affecting your daily sense of fulfillment? :->bothering
"You may see me as outgoing, but I feel alone even in a crowd.",Surface sociability can mask inner solitude.  How severe is this feeling of isolation amidst company? :->severity
"We aim to be friends to our kids, but I'm afraid we might be failing as parents.",Blurring lines can lead to parental dilemmas.  Would you appreciate feedback on maintaining a balanced parenting approach? :->help
